ratio,trial,nu,mu,val-acc,val-f,test-acc,test-f,VaR,tr-CVaR,comp_time
0.0,0.0,0.25,0.05,0.87093495935,0.0,0.844512195122,0.0,-7214517786.91,-2.71754706708e+11,25.474670887
0.0,0.0,0.225,0.05,0.87093495935,0.0,0.844512195122,0.0,-2797333388.53,-7116608342.21,34.0514860153
0.0,0.0,0.2,0.05,0.932926829268,0.648936170213,0.914634146341,0.621621621622,-10.4997650284,-1226.6862027,34.8503351212
0.0,0.0,0.175,0.05,0.946138211382,0.738916256158,0.92581300813,0.68669527897,-8.32949246866,-910.742708672,28.3996431828
0.0,0.0,0.15,0.05,0.957317073171,0.803738317757,0.933943089431,0.730290456432,-6.82640146942,-661.147276189,44.8345050812
0.0,0.0,0.125,0.05,0.963414634146,0.836363636364,0.939024390244,0.756097560976,-5.40640128449,-461.427622368,48.3670110703
0.0,0.0,0.1,0.05,0.965447154472,0.846846846847,0.94512195122,0.785714285714,-4.74063896759,-292.787328967,54.6890661716
0.0,0.0,0.075,0.05,0.968495934959,0.865800865801,0.955284552846,0.835820895522,-3.81114447807,-124.652455363,71.425755024
0.0,0.0,0.05,0.05,0.708333333333,0.31175059952,0.682926829268,0.347280334728,0.975166798706,0.0,30.3225960732
0.0,1.0,0.25,0.05,0.855691056911,0.0,0.863821138211,0.0,-1678833332.9,-48309414328.1,28.7957601547
0.0,1.0,0.225,0.05,0.90243902439,0.489361702128,0.905487804878,0.468571428571,-15.957621298,-1713.82643135,50.1540250778
0.0,1.0,0.2,0.05,0.922764227642,0.634615384615,0.920731707317,0.59793814433,-10.5198561597,-1306.84354494,55.0209100246
0.0,1.0,0.175,0.05,0.930894308943,0.685185185185,0.926829268293,0.64,-8.83029817859,-989.800258692,28.445182085
0.0,1.0,0.15,0.05,0.938008130081,0.726457399103,0.92987804878,0.660098522167,-7.46762400409,-722.880712495,38.6653821468
0.0,1.0,0.125,0.05,0.95325203252,0.806722689076,0.940040650407,0.723004694836,-6.1677874572,-499.65563359,36.0560939312
0.0,1.0,0.1,0.05,0.957317073171,0.826446280992,0.942073170732,0.73488372093,-5.13988049162,-306.008363615,39.8839278221
0.0,1.0,0.075,0.05,0.971544715447,0.892307692308,0.964430894309,0.853556485356,-3.45402647345,-113.205717625,112.752104998
0.0,1.0,0.05,0.05,0.634146341463,0.291338582677,0.618902439024,0.26326129666,0.969931552951,0.0,17.2404181957
0.0,2.0,0.25,0.05,0.858739837398,0.0,0.856707317073,0.0,-1894088122.72,-71254649377.8,25.0574901104
0.0,2.0,0.225,0.05,0.858739837398,0.0,0.856707317073,0.0,-531089545.145,-1351575494.65,44.7257511616
0.0,2.0,0.2,0.05,0.914634146341,0.567010309278,0.907520325203,0.528497409326,-12.3207284446,-1316.60829158,47.5773940086
0.0,2.0,0.175,0.05,0.92581300813,0.643902439024,0.927845528455,0.666666666667,-9.01793754804,-979.34386989,46.5406739712
0.0,2.0,0.15,0.05,0.938008130081,0.718894009217,0.938008130081,0.728888888889,-7.22778021853,-712.306506707,37.098637104
0.0,2.0,0.125,0.05,0.94918699187,0.780701754386,0.94512195122,0.76724137931,-5.97525546156,-496.825600086,53.9654381275
0.0,2.0,0.1,0.05,0.954268292683,0.808510638298,0.956300813008,0.824489795918,-4.50705440794,-286.024728223,41.4882030487
0.0,2.0,0.075,0.05,0.966463414634,0.865306122449,0.965447154472,0.866141732283,-3.18531409108,-104.398669334,125.206429005
0.0,2.0,0.05,0.05,0.404471544715,0.150724637681,0.399390243902,0.156918687589,1.01383177412,0.0,17.1093630791
0.0,3.0,0.25,0.05,0.861788617886,0.0,0.845528455285,0.0,-1.32409143763e+11,-7.34481600697e+12,37.9383218288
0.0,3.0,0.225,0.05,0.861788617886,0.0,0.845528455285,0.0,-7202339064.28,-1.39202985359e+11,30.5918250084
0.0,3.0,0.2,0.05,0.908536585366,0.505494505495,0.895325203252,0.487562189055,-13.461912204,-1607.06895044,60.2382788658
0.0,3.0,0.175,0.05,0.922764227642,0.612244897959,0.904471544715,0.552380952381,-10.6931274266,-1216.95012934,40.1073980331
0.0,3.0,0.15,0.05,0.924796747967,0.626262626263,0.908536585366,0.579439252336,-8.97039336162,-896.557818016,39.9727239609
0.0,3.0,0.125,0.05,0.92987804878,0.660098522167,0.916666666667,0.630630630631,-7.55184583767,-622.542767023,62.0534050465
0.0,3.0,0.1,0.05,0.931910569106,0.673170731707,0.912601626016,0.605504587156,-6.06665706264,-358.08699578,40.7947628498
0.0,3.0,0.075,0.05,0.963414634146,0.85,0.94918699187,0.803149606299,-3.6833790641,-120.72274883,83.239536047
